-16.1216,-8.2933,1.6569
-16.1179,-8.3247,1.6404
-16.1161,-8.3329,1.6327
-16.1144,-8.3411,1.6250
-16.1126,-8.4267,1.6180
-16.1295,-8.2856,1.6575
-16.1278,-8.2936,1.6498
-16.1257,-8.3170,1.6405
-16.1240,-8.3251,1.6328
-16.1223,-8.3333,1.6251
-16.1216,-8.3412,1.6219
-16.1207,-8.4264,1.6191
-16.1193,-8.4349,1.6129
-16.1386,-8.2701,1.6639
-16.1373,-8.2780,1.6580
-16.1355,-8.2859,1.6497
-16.1346,-8.2938,1.6455
-16.1332,-8.3093,1.6393
-16.1318,-8.3174,1.6329
-16.1301,-8.3256,1.6252
-16.1296,-8.3334,1.6226
-16.1292,-8.3412,1.6211
-16.1287,-8.4261,1.6202
-16.1274,-8.4346,1.6140
-16.1195,-8.0067,1.5327
-16.1168,-8.0140,1.5201
-16.1464,-8.2626,1.6643
-16.1451,-8.2703,1.6584
-16.1434,-8.2783,1.6504
-16.1416,-8.2863,1.6420
-16.1414,-8.2939,1.6411
-16.1407,-8.3017,1.6381
-16.1396,-8.3097,1.6330
-16.1380,-8.3178,1.6253
-16.1375,-8.3256,1.6233
-16.1372,-8.3334,1.6218
-16.1369,-8.3412,1.6203
-16.1368,-8.4258,1.6213
-16.1355,-8.4343,1.6151
-16.1332,-7.9771,1.5596
-16.1267,-7.9986,1.5283
-16.1249,-8.0061,1.5197
-16.1240,-8.0138,1.5155
-16.1529,-8.2627,1.6588
-16.1513,-8.2706,1.6511
-16.1495,-8.2786,1.6426
-16.1484,-8.2865,1.6377
-16.1480,-8.2942,1.6358
-16.1472,-8.3020,1.6320
-16.1458,-8.3101,1.6256
-16.1455,-8.3178,1.6241
-16.1452,-8.3256,1.6225
-16.1448,-8.3334,1.6210
-16.1445,-8.3411,1.6195
-16.1508,-8.4147,1.6509
-16.1448,-8.4256,1.6224
-16.1433,-8.4341,1.6152
-16.1392,-8.4442,1.5953
-16.1405,-7.9691,1.5559
-16.1392,-7.9765,1.5498
-16.1376,-7.9838,1.5419
-16.1339,-7.9905,1.5239
-16.1329,-7.9982,1.5193
-16.1321,-8.0059,1.5151
-16.0718,-8.2285,1.2231
-16.0711,-8.2375,1.2197
-16.1591,-8.2630,1.6518
-16.1574,-8.2710,1.6433
-16.1556,-8.2790,1.6347
-16.1552,-8.2867,1.6330
-16.1545,-8.2945,1.6297
-16.1538,-8.3023,1.6263
-16.1534,-8.3101,1.6245
-16.1530,-8.3178,1.6226
-16.1526,-8.3256,1.6207
-16.1578,-8.4149,1.6477
-16.1528,-8.4253,1.6234
-16.1511,-8.4340,1.6152
-16.1473,-8.4439,1.5966
-16.1331,-8.6302,1.5296
-16.1519,-7.9549,1.5727
-16.1479,-7.9611,1.5528
-16.1460,-7.9682,1.5433
-16.1446,-7.9757,1.5367
-16.1419,-7.9826,1.5231
-16.1410,-7.9903,1.5189
-16.1401,-7.9980,1.5147
-16.1392,-8.0057,1.5104
-16.0807,-8.2374,1.2221
-16.0801,-8.2464,1.2193
-16.0795,-8.2554,1.2165
-16.1675,-8.2478,1.6552
-16.1666,-8.2555,1.6506
-16.1652,-8.2633,1.6440
-16.1635,-8.2713,1.6354
-16.1623,-8.2792,1.6299
-16.1617,-8.2869,1.6269
-16.1612,-8.2947,1.6245
-16.1609,-8.3024,1.6231
-16.1606,-8.3102,1.6217
-16.1602,-8.3179,1.6200
-16.1648,-8.4152,1.6445
-16.1608,-8.4250,1.6245
-16.1588,-8.4339,1.6147
-16.1554,-8.4436,1.5980
-16.1539,-8.4523,1.5903
-16.1435,-8.6277,1.5415
-16.1595,-7.9470,1.5707
-16.1553,-7.9531,1.5498
-16.1527,-7.9599,1.5368
-16.1513,-7.9673,1.5297
-16.1499,-7.9747,1.5226
-16.1489,-7.9824,1.5178
-16.1479,-7.9900,1.5130
-16.0912,-8.2372,1.2292
-16.0896,-8.2463,1.2216
-16.1747,-8.2403,1.6529
-16.1736,-8.2481,1.6469
-16.1723,-8.2558,1.6410
-16.1713,-8.2636,1.6359
-16.1696,-8.2716,1.6275
-16.1689,-8.2794,1.6241
-16.1686,-8.2871,1.6225
-16.1683,-8.2948,1.6211
-16.1678,-8.3026,1.6188
-16.1671,-8.3105,1.6151
-16.1663,-8.3184,1.6115
-16.1659,-8.3262,1.6096
-16.1655,-8.3341,1.6077
-16.1651,-8.3419,1.6057
-16.1766,-8.4128,1.6648
-16.1683,-8.4250,1.6234
-16.1649,-8.4347,1.6062
-16.1635,-8.4433,1.5993
-16.1620,-8.4520,1.5917
-16.1456,-8.6331,1.5116
-16.1614,-7.8407,1.5380
-16.1627,-7.9451,1.5468
-16.1595,-7.9516,1.5303
-16.1580,-7.9589,1.5228
-16.1572,-7.9666,1.5186
-16.1564,-7.9743,1.5145
-16.1555,-7.9820,1.5103
-16.1531,-7.9891,1.4980
