zmin,zmax,freq,n,values
1.44,1.54,0.0115,2977,"[1.4853 1.4899 1.5028 1.5387 1.5381 1.5367 1.5135 1.524  1.5339 1.515
 1.5394 1.5385 1.5289 1.513  1.5135 1.5107 1.4482 1.5329 1.4976 1.5245
 1.5383 1.4912 1.5113 1.4994 1.5039 1.5198 1.5387 1.5202 1.5215 1.5285
 1.519  1.5008 1.5212 1.4995 1.5153 1.5163 1.5189 1.5332 1.4745 1.5325
 1.4903 1.5189 1.518  1.5389 1.5262 1.5247 1.4951 1.5207 1.5373 1.5337
 1.5359 1.5286 1.4687 1.4678 1.5112 1.4882 1.5016 1.5092 1.5317 1.4925
 1.5319 1.4634 1.5317 1.5343 1.4529 1.5025 1.533  1.5243 1.4748 1.4976
 1.5226 1.5339 1.4671 1.5343 1.4915 1.5358 1.4936 1.5294 1.532  1.5207
 1.4899 1.5367 1.5197 1.5194 1.5199 1.5172 1.5128 1.5004 1.5147 1.4963
 1.5398 1.5145 1.5393 1.5336 1.5089 1.5388 1.4923 1.4891 1.5192 1.5311]"
1.54,1.64,0.0576,11241,"[1.6033 1.6355 1.5832 1.6118 1.5953 1.6266 1.6147 1.6173 1.6147 1.6161
 1.5759 1.5945 1.5957 1.5753 1.6206 1.6059 1.6052 1.6276 1.6157 1.6339
 1.6397 1.6056 1.5461 1.6277 1.6177 1.6059 1.6219 1.6341 1.6183 1.5945
 1.6051 1.5905 1.5713 1.6363 1.6391 1.6168 1.6095 1.614  1.5448 1.5641
 1.6199 1.6388 1.6218 1.6071 1.5828 1.639  1.6383 1.6349 1.6257 1.6234
 1.6153 1.5964 1.6219 1.6381 1.6154 1.6229 1.6206 1.6383 1.5805 1.6364
 1.5892 1.6364 1.6013 1.5593 1.6015 1.6041 1.6311 1.6385 1.6003 1.6058
 1.6352 1.5814 1.6393 1.5853 1.6272 1.6314 1.5472 1.6175 1.6393 1.6264
 1.6375 1.6043 1.5505 1.6383 1.6295 1.6164 1.6071 1.6369 1.6054 1.6398
 1.5929 1.59   1.612  1.6344 1.6079 1.6036 1.5575 1.6391 1.58   1.6285]"
1.64,1.74,0.293,37793,"[1.7    1.6759 1.642  1.7367 1.6798 1.6969 1.7    1.6697 1.7371 1.7303
 1.7184 1.7281 1.7268 1.6456 1.7087 1.6805 1.6958 1.7101 1.6989 1.6612
 1.7178 1.6984 1.7321 1.676  1.7368 1.7267 1.6473 1.7236 1.687  1.7282
 1.6595 1.7134 1.6949 1.6803 1.6699 1.6965 1.6722 1.6764 1.7333 1.6499
 1.6816 1.6934 1.7392 1.6673 1.6563 1.6896 1.7185 1.707  1.6726 1.7071
 1.7194 1.6935 1.6932 1.6952 1.7137 1.7185 1.7274 1.6856 1.726  1.7115
 1.7086 1.7325 1.7138 1.6711 1.6945 1.7386 1.7047 1.7035 1.7052 1.7301
 1.7176 1.6424 1.6902 1.7172 1.7173 1.7111 1.6454 1.7311 1.6541 1.7024
 1.6916 1.6653 1.6547 1.6536 1.7294 1.688  1.728  1.6939 1.7199 1.6558
 1.7339 1.7009 1.7383 1.6428 1.7389 1.7344 1.7028 1.6432 1.7063 1.6611]"
1.74,1.84,0.3419,36755,"[1.8155 1.7972 1.7639 1.7874 1.8063 1.7913 1.8136 1.7658 1.7705 1.8388
 1.816  1.8241 1.8079 1.7483 1.802  1.7977 1.7723 1.7776 1.7816 1.7581
 1.7646 1.7958 1.7859 1.7489 1.775  1.8113 1.8079 1.8286 1.8068 1.7729
 1.8169 1.8358 1.7745 1.7796 1.8129 1.7585 1.7516 1.7827 1.8245 1.7561
 1.8304 1.7919 1.7953 1.7885 1.8023 1.7925 1.8017 1.7452 1.8134 1.8311
 1.8029 1.8191 1.7562 1.8159 1.7788 1.7558 1.8154 1.7817 1.8093 1.7981
 1.7744 1.8272 1.7757 1.8057 1.7813 1.8165 1.8243 1.7498 1.8239 1.8272
 1.791  1.7675 1.7501 1.8101 1.7611 1.787  1.8027 1.75   1.8213 1.7774
 1.7613 1.8106 1.784  1.7979 1.7969 1.8121 1.7783 1.8028 1.8118 1.8075
 1.8147 1.7813 1.7904 1.8292 1.8074 1.7618 1.831  1.7742 1.7523 1.7957]"
1.84,1.94,0.2079,19443,"[1.8661 1.8751 1.8598 1.8699 1.8978 1.9119 1.9042 1.9141 1.8458 1.874
 1.8735 1.8561 1.9185 1.8707 1.8486 1.8697 1.8909 1.8789 1.8622 1.9092
 1.8907 1.8987 1.8659 1.8492 1.9153 1.883  1.8759 1.8658 1.8435 1.8776
 1.8478 1.8877 1.878  1.8553 1.8772 1.8816 1.843  1.8562 1.8801 1.863
 1.8772 1.877  1.9095 1.8915 1.8852 1.872  1.9114 1.8655 1.8836 1.9071
 1.9298 1.8848 1.8665 1.8728 1.8716 1.8812 1.8781 1.8886 1.8841 1.8884
 1.8797 1.8512 1.9197 1.868  1.8626 1.8727 1.9387 1.8922 1.8426 1.8627
 1.8742 1.906  1.9039 1.8475 1.8706 1.9297 1.8431 1.8835 1.8537 1.8459
 1.8847 1.8854 1.8624 1.8936 1.8989 1.8492 1.9277 1.8859 1.8659 1.866
 1.8778 1.8967 1.9373 1.879  1.8839 1.9342 1.8693 1.8707 1.8752 1.8626]"
1.94,2.04,0.0706,7906,"[1.9727 1.9477 1.9672 1.9418 1.9685 2.0239 1.9483 1.9523 2.0135 1.9621
 1.9413 1.9624 1.941  1.9442 1.9463 1.9874 1.9482 1.9507 1.9452 1.943
 1.9507 1.9484 1.9887 1.9846 1.9945 1.9645 1.9572 1.949  1.95   1.9487
 1.9486 1.9426 1.9493 1.9405 1.958  1.9544 1.9454 1.9465 1.9725 1.9426
 1.9734 1.9642 1.9879 1.9801 1.9447 1.9426 1.9592 1.9623 1.9994 1.9503
 1.9603 1.972  1.9501 1.9509 1.9576 2.0055 1.9499 2.0031 1.945  2.0279
 1.9793 1.972  1.987  1.9487 1.9799 1.9655 1.9489 1.9576 1.9429 1.95
 1.9482 1.9416 1.949  2.0129 1.9513 1.9965 1.986  1.9973 1.9434 1.9462
 2.0202 1.9811 1.9408 1.9451 1.9456 1.985  1.9474 1.9477 1.987  1.9733
 1.9493 1.9691 1.9659 1.9556 1.9669 1.9571 1.9539 1.9788 1.952  2.0133]"
2.04,2.14,0.0175,1903,"[2.0811 2.0844 2.0831 2.0738 2.0907 2.0869 2.0877 2.0835 2.084  2.0735
 2.089  2.0936 2.0765 2.09   2.0862 2.0852 2.0911 2.092  2.0804 2.0922
 2.0907 2.0898 2.0881 2.0737 2.0802 2.0842 2.0756 2.092  2.0757 2.0754
 2.0815 2.094  2.0795 2.0861 2.0762 2.0814 2.0837 2.0845 2.0877 2.0769
 2.0732 2.0936 2.0742 2.0769 2.0726 2.0814 2.081  2.0785 2.0865 2.077
 2.0783 2.0809 2.0876 2.0865 2.0865 2.0748 2.0892 2.0912 2.0808 2.0877
 2.0866 2.0824 2.0724 2.0803 2.087  2.0808 2.0727 2.076  2.0772 2.0904
 2.0914 2.0922 2.076  2.0834 2.0889 2.0845 2.0735 2.0842 2.0727 2.0812
 2.0813 2.0867 2.0835 2.0814 2.081  2.0815 2.0905 2.0743 2.0892 2.0844
 2.0893 2.0763 2.0834 2.0792 2.0921 2.0899 2.0922 2.0928 2.0842 2.0726]"
